Total Population,Total Citizen Income,Hispanic or Latino,Total Citizen Educated in US,Total Households,White Race,Total Families,Citizen College Degree,Citizen Some College  Education,Citizen Income over 75000,Citizen High School  Graduate,Citizen No Income,Pacific Islander Race,Citizen Graduate or Professional Degree,Citizen Income 1-9999,Citizen Less than High School  Education,Citizen Income 15000-24999,Citizen Income 15000-24999,Citizen Income 35000-49999,Case Rate Categories
10591,7909,10477,5858,3947,7276,2553,512,1238,213,2458,1889,16,479,1940,1171,1421,1421,526,2
19746,16783,19433,14241,8012,8211,4601,1248,4308,833,5384,2468,128,431,3792,2870,3048,3048,1663,2
32899,27818,32169,19657,13210,12054,6682,2930,4579,1638,6493,5037,341,1930,6622,3725,4392,4392,2784,3
22913,18493,22264,15594,9164,4607,5473,1415,4264,703,5717,2924,369,854,3051,3344,3354,3354,2403,2
52947,46137,51001,38710,21229,22135,13499,4092,13020,2619,12536,6967,691,2444,8823,6618,7178,7178,5359,2
83593,70342,81877,60248,31624,7150,19826,6366,19278,5610,21794,10931,734,3277,10922,9533,10768,10768,8460,2
195085,167333,183518,141263,74072,20732,49962,39369,40834,28554,29544,20576,5373,20290,24656,11226,19889,19889,19885,2
13763,10969,13677,8244,5629,10316,3068,872,2037,316,3276,2591,26,630,2921,1429,1574,1574,816,4
82291,66462,80620,56103,31890,26055,19285,4620,17852,3916,19706,9862,787,2986,13189,10939,11507,11507,7743,2
41616,33625,40574,28609,16985,11083,9219,3474,8185,1859,9728,5227,713,1736,5342,5486,5488,5488,3760,3
194656,168608,188707,125145,76141,57611,41786,23230,35722,14302,36791,23723,2993,14595,35019,14807,24017,24017,19285,2
67023,53033,65716,45197,26571,3928,15107,3014,14287,2997,16881,7804,639,1996,10164,9019,8834,8834,5716,3
17581,13695,17430,11607,6758,4380,4484,785,3131,958,5200,2278,43,453,2819,2038,2085,2085,1207,2
11670,8775,11598,7242,4484,8465,3150,578,1733,355,3130,2007,9,290,1952,1511,1572,1572,759,4
24484,19836,23845,17255,10163,115,5299,1354,4854,833,6242,2408,356,876,4168,3929,3472,3472,2003,2
3141,2986,2756,2555,553,219,371,196,835,265,1063,32,84,97,496,364,556,556,423,0
5561,4934,4835,4147,1212,332,815,517,1369,836,1622,248,348,154,651,485,933,933,624,0
291826,236150,269765,192310,107332,16226,75786,42216,67389,46519,45685,12582,6846,24273,38977,12747,28293,28293,31838,1
17013,12574,16832,9578,4651,65,6218,748,2196,1222,4281,326,45,457,4923,1896,1553,1553,1144,1
997,751,973,650,423,0,225,99,243,172,227,9,4,33,117,48,78,78,120,0
1826,2042,1784,1590,806,10,411,483,409,310,454,23,14,224,568,20,294,294,287,0
4847,3671,4746,2876,1563,11,1595,285,874,444,1112,34,12,214,1092,391,582,582,334,0
97581,79252,91930,61853,36441,4423,25001,12885,24613,15081,13420,4783,1446,7586,13484,3349,9844,9844,10636,1
2508,2118,2461,1867,1149,10,499,403,625,334,531,19,21,245,369,63,262,262,268,1
2150,1845,2073,1651,913,8,424,248,514,277,616,18,6,113,355,160,292,292,278,0
31275,26607,29687,22346,12187,279,7336,5832,7872,5687,4583,883,386,3166,3869,893,2431,2431,4165,1
55400,46998,53759,39960,22161,269,13111,6139,14884,7858,12452,2764,336,3508,9807,2977,6148,6148,5324,2
13477,11217,12939,9514,5305,78,3227,1534,3562,1743,2888,523,93,761,1862,769,1611,1611,1591,1
13592,10725,12596,8968,4630,92,3894,1374,3183,1560,2596,513,397,785,1814,1030,1788,1788,1264,1
1631,1003,1588,789,553,9,492,66,210,87,356,14,6,60,287,97,187,187,115,0
88995,78166,85694,64554,31824,856,25719,8812,25430,13025,20746,5939,640,4454,17512,5112,9546,9546,8278,1
9492,6991,9377,5443,2815,27,3259,534,1492,708,2370,195,22,226,2327,821,1043,1043,606,1
9430,7665,9181,6490,2029,94,2251,707,2145,2618,2594,74,67,288,1173,756,865,865,668,1
7523,5425,7465,4095,1919,37,2655,292,963,703,1902,154,17,149,2021,789,692,692,484,1
3815,2639,3685,2179,1599,15,891,429,722,416,652,59,42,148,491,228,500,500,288,1
5559,5195,5432,4455,2194,17,1424,478,1578,536,1683,73,20,270,1383,446,795,795,571,1
8881,7170,8444,6168,3545,47,2090,1210,2104,1208,1635,271,113,820,1106,399,897,897,1155,1
968,928,947,829,436,0,152,203,305,124,194,11,4,64,88,63,133,133,148,0
7029,5325,6795,4473,2567,76,1849,449,1738,954,1482,132,69,424,1380,380,726,726,623,1
9636,7554,9287,6392,3966,46,2348,1475,2251,1776,1789,306,46,612,1469,265,995,995,633,0
2369,2090,2332,1857,1053,4,520,239,611,197,680,28,5,122,442,205,362,362,271,1
662,552,645,480,270,2,162,81,152,74,195,12,1,13,78,39,124,124,83,0
5588,4186,5522,3450,2217,10,1552,255,1056,324,1437,70,9,174,1369,528,671,671,394,1
71518,54926,67405,43766,22771,175,22660,3340,14951,1692,14425,17737,904,1680,11161,9370,6346,6346,5160,5
131346,103124,88803,87509,50865,5465,30250,12916,35417,10234,20109,14518,12989,7760,19122,11307,15699,15699,10646,2
134421,114041,116255,80822,46711,1629,31788,16933,26598,10768,17246,16377,6990,11689,27191,8356,14056,14056,13920,3
53597,44062,44009,38632,22000,233,11471,4513,14876,2913,10608,6762,2865,2828,8161,5807,7572,7572,4540,2
37220,29112,25900,23350,11120,683,10575,2120,9428,1749,7320,8004,3034,1177,5100,3305,3565,3565,3304,1
8437,7204,4397,5834,3188,89,2463,560,2363,726,2161,1519,1268,147,903,603,937,937,778,1
20489,17559,15683,15536,9198,129,3678,1145,4507,893,5747,1762,2551,601,3578,3536,3879,3879,1904,3
3817117,3298214,2688376,2730613,1411583,190519,1007861,546841,897620,416655,621894,521562,489705,311931,467709,352327,445340,445340,419209,2
200186,174184,170617,153930,82539,1882,41265,12194,56652,10800,54726,23252,11989,6782,30420,23576,33114,33114,19809,2
107449,83248,95878,68236,35658,938,31973,6428,25318,4848,20483,19026,3625,4121,18471,11886,11135,11135,7803,5
980263,826383,641461,666989,388660,34674,225316,121598,227377,83413,149838,115592,120639,89282,144455,78894,128561,128561,97426,2
375770,324402,268793,276364,125590,17215,99700,32987,101595,24842,82525,63746,43213,18326,52666,40931,46450,46450,38840,2
47420,35738,8147,28877,15437,179,14560,4380,7746,2190,7625,8497,10855,2015,6778,7111,5040,5040,3481,5
211033,189802,182305,168134,90903,1267,40269,24698,66114,15240,43494,20628,10346,17370,32029,16458,32046,32046,23346,1
195751,160012,78839,127583,64767,3931,55185,11782,39968,10287,33138,29069,40743,6513,29286,36182,26247,26247,17528,4
19019,14955,18506,12722,8005,4661,4425,1241,3756,860,4960,1610,320,552,3064,2213,2479,2479,1806,1
21853,16763,20784,14166,8765,5640,5330,1333,3975,827,5883,2821,709,566,3158,2409,2824,2824,1890,2
41513,35111,40825,31590,18748,67,7506,3914,10660,1887,11104,2532,193,1906,6308,4006,7278,7278,4905,1
221339,194838,187056,163405,82087,2814,61848,34624,42708,25225,48563,30292,19061,17108,22575,20402,28614,28614,25244,2
36903,30242,36229,25897,15120,72,8585,2721,9467,1491,8401,2912,120,1482,6435,3826,5104,5104,3510,1
11508,8798,9992,7530,4673,3173,2681,736,1865,617,3179,1350,1162,351,1657,1399,1353,1353,1001,2
5368,4353,5216,3719,2262,1192,1102,302,899,276,1774,542,74,155,761,589,756,756,563,0
27446,22666,23957,19549,11393,103,6183,2302,5954,1164,7020,2601,1677,1480,4076,2793,4545,4545,2610,2
11800,8939,11258,7711,4579,6381,2724,727,2022,432,3148,1905,381,289,1779,1525,1423,1423,809,2
22995,18912,22069,13186,8783,5413,4480,2165,3964,1064,4185,2196,497,1313,5216,1559,2822,2822,2140,2
16083,12487,15866,10667,6845,56,3590,725,2829,402,4412,1446,80,412,2622,2289,2025,2025,1302,1
25970,21357,25453,18802,11078,72,5162,1800,5510,1601,7372,2523,203,1182,3611,2938,3588,3588,2370,2
8689,6824,8544,5735,3416,1059,2151,641,1445,522,2584,1129,79,334,1128,731,1015,1015,893,2
24552,19833,24019,14863,9759,9059,5594,1997,3411,1153,6009,2869,289,1193,4722,2253,2872,2872,2021,1
21273,16965,20516,14496,8463,2385,5145,1500,3715,1142,6342,2119,311,797,3297,2142,2771,2771,1679,1
