Total Population,Total Citizen Income,Hispanic or Latino,Total Citizen Educated in US,Total Households,White Race,Total Families,Citizen College Degree,Citizen Some College  Education,Citizen Income over 75000,Citizen High School  Graduate,Citizen No Income,Pacific Islander Race,Citizen Graduate or Professional Degree,Citizen Income 1-9999,Citizen Less than High School  Education,Citizen Income 15000-24999,Citizen Income 15000-24999,Citizen Income 35000-49999,Case Rate Categories
102599,80793,70128,66225,35180,3845,29283,6158,16812,4720,19162,13560,15429,3488,10988,20605,14657,14657,8974,2
9255,7436,8917,6390,2891,3252,1787,390,1304,224,3183,2921,149,282,973,1231,949,949,721,3
10593,8285,10232,6979,4263,4535,2356,541,1586,312,2900,1372,217,458,1291,1494,1650,1650,849,2
9563,7408,9349,6253,3666,3672,2324,345,1346,367,3259,1377,127,216,1406,1087,1307,1307,768,2
21679,16792,21344,14137,8214,5978,5343,954,3951,1026,5533,2740,98,605,3196,3094,2771,2771,1882,3
185079,160111,163696,138132,67096,1020,42280,26418,44957,15687,43028,23311,2868,13086,26051,10643,23658,23658,20535,1
953207,810063,875774,679932,311047,19256,210500,152164,212261,120888,177945,99354,10457,79006,112312,58556,100397,100397,112374,1
90,84,89,79,69,0,0,11,31,13,20,5,1,7,9,10,9,9,13,0
67091,57769,60776,50275,23240,278,15223,9793,16249,6468,15699,6683,608,4406,6991,4128,7865,7865,9047,1
154834,133576,139124,115902,53886,870,35815,20711,39850,15550,36470,16184,3051,9748,16055,9123,17857,17857,20937,1
392365,345953,364460,289374,148445,4441,103706,73092,100420,46356,64701,44377,9529,35811,54100,15350,47014,47014,44317,2
3976,3376,3882,3041,1748,5,763,359,963,164,1132,330,26,257,627,330,578,578,485,2
82839,65166,77252,52599,30682,625,22714,9807,19934,5630,13694,7050,1721,4949,14596,4215,9673,9673,6818,1
5986,4618,5770,3904,2281,6,1636,646,1366,484,1502,404,97,146,994,244,676,676,590,0
9285,7369,9050,6422,3837,28,2201,617,2129,438,2508,710,44,286,1591,882,1085,1085,904,2
45607,33412,37743,27152,14999,105,15048,3747,9952,2584,8395,3786,4480,1485,7226,3573,5587,5587,3700,1
21376,17485,17104,15157,8823,39,5203,4166,4065,2175,3253,1685,2530,1954,2193,1719,2949,2949,2687,4
7028,6012,6779,5350,2974,15,1509,1026,1927,692,1517,668,58,534,1077,346,1013,1013,685,0
40877,34997,39966,30832,17100,58,8850,4627,11843,2683,9333,3914,163,2293,6830,2736,5629,5629,4303,1
104234,81122,92322,66489,36629,585,32794,13665,23921,8399,17449,9632,5334,5808,15280,5646,12740,12740,9530,1
10972,9160,10570,7869,4421,29,2812,1029,2700,679,2926,1275,58,403,1801,811,1361,1361,941,0
2891,2160,2772,1897,1129,6,815,227,763,205,690,364,59,67,387,150,310,310,219,0
1117,695,1042,611,487,3,240,91,228,55,199,88,20,35,113,58,129,129,62,1
188923,155774,143854,125936,63604,1077,59492,16252,43366,8757,40409,22083,21469,6492,29725,19417,26352,26352,18074,1
6963,5216,6627,4413,2606,4,2016,675,1622,643,1554,622,163,211,1038,351,730,730,590,1
22952,17051,17228,13738,7666,64,7587,1786,4620,1032,4019,2326,3266,705,3487,2608,2638,2638,2198,2
982,746,584,587,345,7,308,65,149,12,166,137,234,35,114,172,158,158,78,0
8761,7464,8493,6659,3660,18,1556,824,2455,347,2337,1508,73,334,1186,709,1186,1186,1032,0
4368,3648,4192,3235,1936,8,858,511,1153,273,1017,354,66,220,872,334,616,616,259,1
27038,20409,22920,16039,10140,733,7675,2046,6785,1314,4471,2946,1830,777,3323,1960,3575,3575,2745,1
12786,9481,11948,7619,4079,28,4498,1085,2855,644,2520,1165,419,453,2009,706,1751,1751,1193,1
13242,10014,11548,8210,4436,46,4154,1220,2833,613,2651,1712,1007,513,1812,993,1496,1496,1394,1
16719,13702,15383,11696,6495,20,4098,1355,3713,776,4579,1887,519,616,2819,1433,1759,1759,1638,1
15464,11632,11120,9639,5531,37,4563,984,2751,509,3344,1309,2368,433,1983,2127,1976,1976,1677,2
16267,13654,15846,11941,6834,42,3405,1596,4266,519,4181,1434,103,686,2625,1212,2616,2616,1675,1
26140,19478,23499,15686,8146,52,9287,2398,5999,1539,4443,2426,1514,934,3978,1912,2566,2566,2481,1
22374,16890,15445,13837,7540,62,6948,1299,4204,873,4487,2215,3532,506,2987,3341,3515,3515,1961,3
138494,120939,133226,102732,54200,416,34244,17039,42230,12001,27945,12863,1041,8177,19154,7341,19982,19982,15804,1
37244,32605,35918,21464,14708,293,6969,5765,6607,2317,4075,2992,375,4203,9356,814,4387,4387,3463,1
7936,6641,7755,5950,3576,18,1576,934,2112,303,1918,528,44,393,1571,593,1036,1036,857,1
3821,3091,3693,2692,1657,14,848,329,1089,184,887,261,63,111,619,276,586,586,354,0
5208,3877,3732,3237,1705,19,1699,222,1075,174,1158,523,844,72,756,710,625,625,656,2
37536,29336,35318,16168,10611,185,9748,4042,6939,1594,2430,4372,1059,2015,11334,742,3634,3634,2058,1
20069,15532,13576,12715,7170,77,5893,1272,4303,755,3733,1814,3076,530,2990,2877,2435,2435,2051,2
39265,32928,38156,27742,16241,117,8515,4538,10534,2702,8700,2524,261,1748,6041,2222,4895,4895,4384,2
4286,3264,4160,2643,1545,9,1283,300,1043,200,963,324,46,100,748,237,535,535,333,0
11526,8878,8547,7334,4076,23,3369,555,2238,441,2559,1471,1916,155,1661,1827,1550,1550,832,1
22623,17729,19260,14877,8262,52,6484,1546,5660,1314,5152,2013,1419,564,3248,1955,2972,2972,2156,1
7817,5687,5489,4663,2641,22,2414,502,1294,320,1540,874,1523,235,728,1092,1044,1044,826,1
12765,10449,12385,9109,5605,26,2660,803,3227,730,3406,1080,68,326,2269,1347,1793,1793,1212,0
10170,8241,8449,7054,3651,25,3023,2116,2321,686,1215,887,1193,884,1032,518,1213,1213,1316,1
77230,62840,66660,52179,28760,342,21144,6656,20870,4342,14890,5739,4829,3326,12295,6437,10905,10905,7995,2
9862,8543,9476,7748,4393,11,1949,1705,3115,806,1815,810,154,679,1454,434,1262,1262,1144,1
10198,8086,8482,7074,4034,18,2518,784,2436,303,2339,1037,930,377,1563,1138,1607,1607,955,2
67103,54145,66327,46161,27375,2331,15461,6821,15453,4124,16092,5352,243,3962,8240,3833,8853,8853,8458,1
8238,5359,8083,4625,3329,2915,1885,374,1526,224,1606,939,114,123,1025,996,1172,1172,555,2
17768,14373,17221,11904,6427,1080,3650,1492,3632,1003,4684,2157,58,804,2540,1292,2129,2129,1775,1
54165,42402,43198,34783,18505,1064,15684,4580,10237,4906,12380,5970,5048,2981,6939,4605,5861,5861,5277,3
6937,5900,6535,5047,2099,1280,1114,489,1653,403,1911,1906,306,175,714,819,670,670,626,1
34978,27581,32283,23618,14262,212,8155,2971,7934,2498,9117,2471,1046,1484,4191,2112,4614,4614,3896,1
5089,4060,5049,3524,2085,7,1113,278,1146,306,1589,456,10,206,826,305,573,573,563,1
15387,12383,14950,10746,6622,123,3161,1208,3408,929,4558,1204,87,661,1874,911,2058,2058,1830,1
13642,10273,11351,8729,5270,419,3401,832,2206,703,3997,1089,1185,341,1622,1353,1836,1836,1421,2
201081,175106,190474,119960,80665,24946,39079,26436,34989,18992,26351,26883,4361,26266,38392,5918,22085,22085,20997,2
34800,27840,34329,23940,14055,495,7776,2650,7186,1901,10172,4171,147,1269,4088,2663,4471,4471,3537,1
16335,12952,16163,11047,6782,48,3718,1272,3971,1196,4246,1060,56,622,2303,936,1976,1976,2078,1
13815,10975,13664,9445,5697,47,3164,1037,3540,771,3454,810,63,371,1831,1043,1761,1761,1678,1
37762,31009,36704,26627,14005,1338,8582,4136,9382,3545,8454,4147,442,1749,4090,2906,3961,3961,4215,2
53873,44714,52718,32910,21463,2067,9942,4849,11247,3198,10078,5741,310,3720,9485,3016,7141,7141,5299,2
5194675,4260374,3949913,3578782,1966356,1287767,1232280,796547,911935,638306,841480,671230,551971,534409,644249,494411,563660,563660,463768,4
19817,16177,19455,13948,7763,934,4053,1630,5431,1369,4320,2557,162,721,2779,1846,2462,2462,2224,1
11048,8837,10973,7630,4377,38,2598,773,2704,699,2909,720,24,375,1580,869,1461,1461,1437,1
105160,85567,94513,61324,38484,6732,23490,11634,22121,9224,15948,10090,4149,7116,18318,4505,12012,12012,9688,2
16561,13286,16207,11463,6811,87,3822,1717,3907,1307,4269,1178,156,609,2037,961,2131,2131,2208,1
19980,15678,18770,13199,7720,58,5174,1849,3971,1344,4436,1767,461,645,2527,2298,2285,2285,2299,2
916924,754488,795418,632912,337132,42346,227430,183959,163724,161826,117126,95473,45106,119948,105486,48155,84220,84220,83813,3
18576,14578,18389,12639,7839,64,4121,1495,4112,1206,4851,1387,52,734,2460,1447,2478,2478,2000,1
6721,5306,6662,4568,2840,30,1536,400,1887,434,1637,447,21,171,901,473,879,879,907,1
34242,27399,33645,23094,13515,79,8442,3741,7558,2558,8483,2032,262,1477,4341,1835,4205,4205,4208,1
22140,18273,21836,15451,8311,980,4976,1316,4541,1069,6371,3270,94,527,3449,2696,2734,2734,2121,1
14081,10975,13787,9393,5676,85,3347,1330,3047,950,3566,947,90,469,2041,981,1684,1684,1638,1
39561,32192,39086,27627,16617,123,8961,2724,11087,1979,8817,4335,124,1476,6213,3523,5263,5263,3995,1
37069,29908,36173,25732,14536,1269,7753,3121,9349,1844,8634,4449,596,1428,5300,3200,4585,4585,4168,1
5589,4266,5523,3751,2403,12,1184,358,1293,283,1506,480,20,123,737,471,641,641,614,1
13886,10981,13771,9378,5570,119,3198,827,3050,620,3960,1469,39,298,2149,1243,1713,1713,1366,1
50063,39744,45967,33231,18546,605,13657,4949,12070,6388,11429,4838,1336,2554,5912,2229,4613,4613,4948,2
8457,6735,8352,5818,3489,31,1931,592,2108,592,2155,795,22,391,1127,572,879,879,994,1
19104,15088,18919,13130,8040,52,4197,1809,4490,1105,5072,1635,56,784,2237,975,2271,2271,2405,1
4320,3602,4264,3129,1915,13,876,280,1124,144,1081,637,14,67,746,577,694,694,336,1
7331,5897,7252,5114,3149,15,1493,588,1514,371,2341,491,13,138,906,533,1068,1068,840,1
50486,40526,48084,34567,20373,796,12095,5307,11445,4193,11764,4693,814,2333,5910,3718,6203,6203,5170,1
29718,23370,28134,20091,11956,233,7015,1867,6699,1870,8408,2154,779,1001,4082,2116,3896,3896,3024,2
60218,50009,57815,35285,25538,8589,10738,6092,11063,3991,8671,8370,992,6687,12146,2772,6685,6685,5168,2
9698,7756,9619,6700,3940,11,2204,786,2150,617,2628,634,26,379,1399,757,1216,1216,1101,2
38827,31291,38028,26760,15365,3251,8596,2578,10079,2344,8433,5004,299,1740,5337,3930,4907,4907,3841,2
22985,18396,22763,15267,8828,93,5239,1970,5473,1883,5466,2360,46,1042,2907,1316,2951,2951,2579,1
22678,18693,22069,16312,9753,107,4715,2453,5101,1880,6075,1240,194,1380,2959,1303,2917,2917,2880,1
12582,10989,12206,9404,4584,1006,2441,1022,3298,657,2995,3104,201,500,1730,1589,1400,1400,1052,1
515269,413376,356879,340594,170479,29422,149190,71465,95742,67401,78261,56015,66818,38722,59611,56404,57085,57085,47695,3
113449,89086,103282,72871,41511,17187,28754,9028,24914,8686,24723,11592,4502,5425,16282,8781,12372,12372,10935,3
114736,92574,96838,77030,38022,6585,36066,17324,26836,17597,17246,11150,5768,9493,12028,6131,11801,11801,11443,2
52919,43015,50361,35756,21535,3810,10880,4094,12293,2913,12762,6913,1023,2303,7129,4304,7103,7103,5120,2
703462,561195,563475,455774,241712,49033,192672,118151,113643,116686,96100,74685,60008,83502,81676,44378,71105,71105,58514,3
113924,91377,104789,77586,45347,2186,26218,9067,26981,9394,28070,10802,2838,4729,15167,8739,14302,14302,11220,1
16833,13833,16280,11891,6130,1608,3207,1026,4078,834,4399,3003,280,348,2411,2040,1782,1782,1815,1
36031,28983,34229,24995,13758,1735,7734,2727,8956,2757,8814,4246,693,1728,4897,2770,4072,4072,3695,2
38950,30312,37418,25661,14613,1915,8758,2482,7872,2709,11171,4687,518,1387,4406,2749,4898,4898,3587,1
30305,24915,29412,20844,11070,2285,6062,2965,6981,2149,7490,4620,371,1152,3796,2256,2929,2929,3205,1
32612,27233,31745,18357,13057,1642,5243,3133,5420,2075,5644,3805,237,2860,7270,1300,3218,3218,3053,2
308760,247107,273511,205777,109199,3283,84175,45497,67997,45149,54491,29441,13194,22875,33372,14917,29923,29923,30529,2
169572,141464,162138,104486,65104,12426,38412,31061,26993,22570,26444,17193,2603,15629,26283,4359,16289,16289,16327,1
110768,87584,108696,73678,45855,18027,25284,10855,24297,8289,25277,9527,756,5900,16042,7349,12943,12943,11462,1
47765,37839,47347,32422,19381,359,10775,4017,10852,3570,12514,3781,118,1994,6397,3045,6001,6001,5262,1
269282,217291,261969,184528,108094,21235,61246,30349,65062,24707,56963,23664,2427,17990,34702,14164,30588,30588,28716,2
39437,31017,38895,26532,16148,1557,9238,2633,10174,1996,9371,2981,165,1406,5727,2948,5407,5407,4447,1
12640,9935,12326,8583,5161,44,2742,1144,2926,976,3549,994,137,351,1477,613,1621,1621,1318,1
14666,11582,14549,10022,6079,54,3227,1046,2986,884,4366,1107,19,497,1904,1127,1889,1889,1569,1
15429,11840,15139,10348,6362,904,3518,937,4044,900,3537,1459,72,319,2278,1511,2004,2004,1215,1
12705,10136,12584,8740,5140,76,3001,1516,2900,1339,3046,940,46,634,1195,644,1482,1482,1693,1
16434,13021,16127,11246,6734,47,3720,1480,3644,1108,4617,1234,42,625,2004,880,1900,1900,1877,1
32957,27411,32507,23611,12589,69,8071,4572,7909,4772,7346,2255,111,2653,3671,1131,3462,3462,3933,2
30104,24352,29645,20954,11652,952,6386,1858,6773,1718,8373,5092,145,1163,3799,2787,3586,3586,2771,1
35547,28814,34835,23818,14104,2122,7587,3430,6853,2503,9869,3635,273,1630,5298,2036,4597,4597,3162,2
14846,11657,14717,9931,5758,41,3701,1233,3233,1007,3440,1260,34,567,1559,1458,1647,1647,1774,1
53497,41993,48756,35732,20856,483,13244,4669,12771,4910,12003,4743,2015,2354,6369,3935,6505,6505,5913,2
186494,148828,179392,124320,75793,33030,44893,23520,40818,18172,33579,18420,2956,14022,25991,12381,20977,20977,18815,2
22350,18078,21751,15244,8335,1866,4633,1381,5059,972,5991,4203,365,532,2736,2281,2564,2564,2001,1
16729,13399,16562,11539,6782,58,4007,2214,3646,1609,3985,1011,35,1073,1730,621,1671,1671,2292,1
16430,12971,16258,11115,6639,275,3712,1350,3472,801,4545,1590,38,440,2417,1308,2043,2043,1723,1
4470,3768,4406,3403,1829,269,814,307,1403,222,1097,571,23,139,669,457,810,810,465,1
6161,4665,6064,4063,2642,1994,1405,289,1569,218,1464,820,41,166,949,575,749,749,537,3
6006,4821,5754,4235,2509,32,1279,410,1589,696,1696,411,82,221,609,319,725,725,708,1
33476,27684,32609,23893,12314,3263,6631,2189,7206,1824,9722,5844,403,950,3914,3826,3864,3864,3610,3
16233,12985,16028,11155,6726,78,3608,1735,3909,1003,3477,1346,64,659,2295,1375,2014,2014,1896,1
147546,118758,130428,100347,61303,13289,33187,14918,35404,11444,30886,12400,6555,7880,20723,11259,17348,17348,15994,2
270056,212124,261271,177839,105045,82302,68588,28056,62589,24310,51438,29338,3133,19221,35838,16535,28304,28304,26669,2
24913,20069,24573,17140,10379,995,5704,1865,6886,1378,5180,2888,97,952,4082,2257,3023,3023,2459,1
197465,160902,193985,136402,82986,23335,46816,29200,41664,23737,37800,17109,1047,17399,24132,10339,21156,21156,21904,1
7544,6128,7454,5409,3040,243,1580,650,1860,403,1956,1190,36,317,970,626,891,891,860,1
5355,4186,5312,3605,2214,9,1272,356,1083,318,1757,394,6,146,798,263,629,629,634,0
22363,18098,22183,15576,9216,50,5052,1768,4737,1282,7128,2015,38,719,2732,1224,2867,2867,2701,1
5994,4570,5935,3919,2425,28,1411,512,1306,490,1500,462,20,224,783,377,684,684,587,1
47711,37651,46305,32234,19845,4275,10811,3909,11953,2757,11487,3828,550,2123,6331,2762,6954,6954,4764,2
135394,108934,132880,93706,54146,1374,31836,17038,32438,13528,30198,11532,677,7330,14966,6702,15382,15382,16219,1
17808,14172,16945,12359,7167,156,3828,1751,4031,909,4033,1985,348,1001,2375,1543,2343,2343,1840,3
81625,63363,78184,53825,32655,10571,19928,5532,17145,4001,21942,9855,1189,2339,10183,6867,9745,9745,8890,1
11947,9414,11789,8038,5012,77,2648,1055,3244,748,2454,901,62,452,1663,833,1486,1486,1318,1
17707,14271,16217,11404,6918,303,3919,1959,3415,1074,3831,1493,804,816,2859,1383,2218,2218,2063,2
14716,11715,14519,10164,5926,101,3258,1381,3864,1196,3443,1163,61,672,1688,804,1826,1826,1925,1
16760,13460,16584,11631,7102,42,3780,1129,4301,829,4288,1641,58,402,2013,1511,2194,2194,2282,1
14665,11582,14507,10088,6313,56,3065,1008,3671,1099,3808,1358,27,564,2006,1037,1804,1804,1491,1
58498,46322,52043,39619,23740,781,13740,4647,13868,3964,14453,4348,2044,2525,7465,4126,8019,8019,6436,2
677560,541848,571743,444963,225256,75743,196954,95679,135319,95713,119492,76771,39025,53654,75066,40819,67534,67534,60589,3
66357,55060,65056,47536,27421,2540,14692,6288,18236,4690,14273,7641,362,4401,8328,4338,8370,8370,7157,1
295266,231241,263089,194834,115501,36108,73580,27530,64045,22402,62589,27279,14339,16167,39142,24503,36388,36388,28747,3
38664,30962,38137,25942,14276,187,9990,5802,7846,4447,8626,3076,119,2260,4724,1408,4152,4152,4341,1
34387,25692,32975,21052,12011,107,10714,2116,5915,1229,8558,3225,474,1013,4010,3450,4185,4185,3871,1
355329,287882,332236,237509,137851,41618,95958,42678,77785,25302,69290,34363,10455,22525,44718,25231,43569,43569,41144,2
76794,64621,72032,54857,29860,1420,19360,10155,13967,7876,18386,6504,2449,6986,10042,5363,9259,9259,8624,2
8854,6891,8423,5841,3479,42,2284,744,1656,523,2590,635,193,236,1206,615,991,991,908,2
12766,10035,12649,8610,5236,49,2914,506,2295,405,4297,948,41,454,1819,1058,1965,1965,1377,2
56640,48958,55370,41421,21149,495,15917,11596,9574,10005,9684,5412,371,7966,6621,2601,5579,5579,6354,2
15242,12804,15064,11254,6199,53,3172,1421,3361,1199,3904,1244,47,1444,2061,1124,1868,1868,1849,2
20155,16268,19444,13909,7900,48,4957,1528,4279,1320,5792,1743,349,730,2594,1580,2481,2481,2258,2
38966,30907,34069,25935,14858,578,10093,2334,7867,1688,10229,4326,2745,1131,4832,4374,4964,4964,4220,5
110232,93001,104882,79085,44248,7661,26109,10961,26703,7299,27495,10176,2917,4825,13419,9101,14443,14443,14330,2
26890,21340,26583,18220,10447,87,6441,2031,5373,1546,8128,2268,136,998,3892,1690,3242,3242,3099,2
33224,25336,28829,21277,12105,142,8849,2297,5515,1638,9493,2671,2271,1040,4163,2932,4309,4309,3784,2
10713,8680,10587,7473,4303,24,2495,486,1797,286,3543,1253,59,293,1385,1354,1479,1479,1368,2
31648,24740,30334,20237,11329,172,9120,1875,5179,1823,6944,3697,818,991,4060,5248,3843,3843,2838,2
50047,40266,49545,33999,18743,300,12515,4855,9892,4296,13601,4019,175,2524,6531,3127,5642,5642,5151,2
25740,21161,25314,17757,9977,82,6560,2281,4624,1512,7777,1983,148,1220,3426,1855,2939,2939,3617,3
42223,33875,41192,28431,15951,148,11136,3503,8887,2466,11538,3174,349,1564,5398,2939,5554,5554,5261,2
117671,98071,115583,71195,46516,8146,23573,9852,21759,5894,24895,11410,674,7196,23246,7493,15637,15637,11650,2
41889,33871,39368,28458,16133,122,10669,4394,8105,2783,10976,3036,1293,1697,4889,3286,5424,5424,5778,2
197559,155632,169673,128152,70244,11307,56175,15620,33555,10745,46063,20143,14792,8353,24764,24561,25046,25046,21627,3
24277,19225,24054,16358,9719,322,5818,1228,4481,951,7119,2959,74,584,3213,2946,3100,3100,2216,2
74578,62037,72606,52041,29479,3873,17931,9263,15699,7286,16059,6495,866,5497,9510,5523,8824,8824,8287,2
17240,13613,16867,11545,6935,28,4174,1074,3589,1004,4967,1413,145,583,2449,1332,2053,2053,1706,1
23087,18356,22877,15509,8579,37,6033,2001,3889,1462,6640,1902,75,1051,2957,1928,2569,2569,2558,2
20836,16310,19954,14015,8237,150,5163,1166,4467,838,5794,1532,455,631,2979,1957,2947,2947,2326,2
33503,27124,33062,22827,13255,597,8145,2568,7637,2602,9256,3129,158,1261,3807,2105,4384,4384,3617,1
70061,55988,67544,44546,27245,4888,15169,4637,12969,2775,18171,6235,999,2978,12834,5791,9642,9642,6465,2
33165,26527,32843,22716,13487,49,7883,2102,7220,1816,9257,3036,89,1192,4597,2945,4393,4393,3760,2
274569,237328,265143,199803,99835,9603,82938,73578,47034,58735,30322,26456,3270,41296,30783,7573,22600,22600,29155,2
70002,58692,68786,49508,26304,1452,18338,10029,15503,7503,16056,6420,303,4879,6897,3041,7549,7549,9152,2
39364,32095,38783,27639,15192,178,9307,2893,8375,2942,11710,3831,207,1689,5049,2972,4690,4690,4314,2
145448,124613,141069,104392,52368,7084,39908,24513,31919,19297,28993,13585,1544,12320,16796,6647,14432,14432,18555,3
49462,40497,48771,34455,19077,1070,11044,3791,9822,2169,15039,6166,218,1903,7152,3900,6407,6407,5601,2
82752,66835,80549,56980,34301,5680,19585,7467,18096,6003,20942,7836,699,4131,10958,6344,10083,10083,9007,2
37124,29956,36493,24887,14218,160,8795,2771,7198,1788,10813,2707,168,1742,5335,2363,4818,4818,4649,1
42376,34887,39966,29579,16501,282,10416,3112,8052,2243,12968,4101,1019,1581,5863,3866,5127,5127,5034,3
33478,26836,31655,22258,12232,212,8594,2132,6829,2322,9368,3091,655,1183,4822,2746,3681,3681,3684,2
21253,16620,20676,13871,8133,60,5644,916,3403,592,6637,1868,281,534,2954,2381,2993,2993,2317,2
32428,26943,31673,22097,12635,542,7334,2324,6938,1973,8883,3487,305,1527,5003,2425,3730,3730,3580,1
28525,22515,27954,18680,10680,216,7530,1375,5360,1058,8597,2445,273,624,3962,2724,3428,3428,3178,2
139654,118202,135384,98960,52242,1578,36900,20575,29050,15007,31182,12943,1692,9976,16337,8177,15443,15443,17282,3
38440,31210,37850,24759,15249,1009,8192,2532,9103,2013,8758,3743,186,1443,5811,2923,4733,4733,4400,1
77358,62838,71724,52041,29197,572,19817,7526,14167,5311,18374,6563,2631,4056,9485,7918,9749,9749,9648,2
37128,27970,35811,22347,11598,117,12806,1556,4463,1894,7478,4536,636,655,4210,8195,4202,4202,3988,3
496005,391704,413342,326499,188157,128263,127273,47030,103794,40991,113733,57888,28792,22939,65320,39003,56048,56048,46134,3
111467,90974,105374,77203,42331,12001,25382,8931,24086,7559,29991,15798,2226,4827,14641,9368,13993,13993,10893,2
46134,37434,45589,32030,18811,186,10872,3195,9876,2545,13489,4535,137,1953,5338,3517,6509,6509,5295,2
131636,106089,127447,89800,51927,10963,30389,10584,27960,6798,34995,13738,1973,5175,18774,11086,16558,16558,14473,2
903393,742828,818927,615756,366176,240975,226505,118164,172013,64885,172295,94928,48435,64860,124874,88424,112792,112792,98581,3
47051,37139,43080,30831,17406,220,12649,3823,7916,2609,12219,4530,1773,2271,6280,4602,5537,5537,4862,2
10334,8316,10264,7106,4216,10,2481,457,2117,652,3037,729,24,325,1501,1170,1179,1179,1334,1
36903,29594,35997,24872,13456,1673,8393,1944,7851,1642,10235,4910,225,1193,5301,3649,4271,4271,3403,2
137974,125374,133945,81878,54864,4491,22471,19422,19894,11495,17854,16547,1325,18076,34308,6632,15454,15454,12730,1
38124,31013,36385,25785,14979,327,9139,3270,7546,2273,10917,3093,700,1403,5270,2649,4609,4609,4349,2
68894,56305,68074,47577,25765,176,17328,5093,14462,5612,19735,5977,232,2548,9284,5739,8526,8526,7814,2
14244,11572,13527,9859,5503,56,3279,744,2916,860,4492,1798,256,337,1876,1370,1724,1724,1627,2
47536,37507,42969,31331,17355,185,12850,3051,9180,2257,13084,3793,2472,1322,5804,4694,6953,6953,6085,2
6128,4965,6059,4388,2477,22,1300,384,1314,502,1939,491,19,237,655,514,620,620,743,2
19840,15906,19646,13461,7872,170,4887,960,3490,879,6135,1726,65,630,2488,2246,3176,3176,2058,2
21575,17297,21377,14921,8486,65,5011,1024,4433,1060,6411,2419,49,867,2317,2186,2752,2752,2516,1
17339,14024,17124,12051,6222,397,3713,1056,3638,829,5144,2629,70,461,2555,1752,2049,2049,1572,1
19338,15798,19146,13635,7476,471,4143,1002,3412,950,6623,2680,51,948,2244,1650,2430,2430,2076,2
12845,10208,12725,8795,5186,39,2880,739,2665,987,3749,959,38,413,1483,1229,1639,1639,1460,1
164343,136618,150410,113686,61998,4894,39921,19582,34641,20006,39046,19542,3818,11658,21314,8759,17355,17355,16442,2
25910,20953,25662,17829,10171,233,6138,2388,6294,2511,6713,1941,93,1301,3507,1133,2700,2700,2857,1
13402,10406,13077,8884,5282,88,3198,727,2711,700,4127,1264,80,318,1663,1001,1570,1570,1451,2
37963,31538,37376,24756,12917,1505,7996,2210,7366,2226,10656,5399,204,1611,5917,2913,4458,4458,3876,2
26171,20435,25381,17404,10451,117,6383,1368,5046,851,7500,2328,462,1012,3284,2478,3466,3466,2907,2
28818,22841,28373,19184,10789,69,7590,2350,5091,1753,8282,2409,158,1151,3280,2310,3941,3941,3469,2
17392,13680,17202,11539,6767,132,4307,1122,2772,849,5299,2284,86,588,2090,1758,2027,2027,1823,2
266931,215479,247536,174455,103069,33958,65851,30387,50114,17567,53575,27698,9031,19237,40419,21142,33511,33511,26422,2
24181,19251,23827,16245,9397,57,5812,1279,4862,1339,6830,2669,111,821,2833,2453,2795,2795,2653,2
44436,35823,42789,30587,17302,455,10845,3670,8263,3170,13192,3852,714,1823,5411,3639,5009,5009,5588,3
20952,16845,20435,14377,8082,96,5063,1479,4245,1621,6391,1657,282,802,2402,1460,2877,2877,2708,1
23363,18574,22597,15788,9038,66,5696,1193,5002,1027,6326,2375,204,599,3563,2668,3021,3021,2103,2
34185,28621,33203,23551,13310,179,7835,3003,7413,2234,8837,2490,320,1779,4909,2519,4724,4724,4310,2
21475,17441,21181,14952,7823,961,4590,1271,4549,1143,6520,3497,64,595,3202,2017,2464,2464,1875,1
10613,8408,10466,7159,4034,32,2722,451,1806,421,3483,1056,79,172,1721,1247,1316,1316,1027,2
172780,153542,159833,102561,65532,6913,35717,21124,29570,13938,26207,19410,5672,16701,37584,8959,20987,20987,16957,2
15936,12721,15590,10848,6376,29,3703,1515,2786,1116,4557,1287,107,793,1794,1197,1847,1847,1966,1
7516,5968,7434,4973,2938,33,1885,582,1167,236,2354,678,25,292,969,578,1263,1263,751,1
179703,148530,175830,123257,74454,16347,39896,20697,37746,12370,40260,17425,1867,11574,25874,12980,23251,23251,19199,1
16212,12874,16082,10949,6619,24,3744,985,3430,864,5054,1698,48,437,2158,1043,2030,2030,1655,1
107848,89184,105379,69061,41361,7437,23049,10051,22109,5637,22273,12287,637,6206,19201,8422,14201,14201,9757,1
32888,26382,32191,21810,12777,163,7459,2388,6114,1645,9157,2454,233,1694,4844,2457,4328,4328,3909,2
8508,6776,8438,5870,3337,11,1996,767,1612,637,2591,590,20,370,985,530,982,982,1079,1
59689,49238,58743,41987,22505,803,15431,7662,13353,6602,13419,4907,291,4610,7035,2943,6347,6347,7445,2
28262,22497,27958,19059,10850,64,7126,1425,5268,1183,8653,3326,93,878,3484,2835,3262,3262,3175,2
68917,54743,67113,45907,27551,3418,15883,4901,13581,3263,17326,6986,785,3436,9831,6663,9061,9061,6278,1
27636,22124,27072,18701,10780,96,6899,2368,6316,1528,7291,1861,208,1107,3463,1619,3442,3442,3868,2
24643,19623,22897,16729,9741,68,5960,1781,5227,1209,6892,1760,924,1003,2830,1826,3484,3484,2963,3
33292,27069,32777,23080,13001,99,8183,2880,7110,2370,9418,2603,132,1612,3434,2060,4165,4165,4255,1
