Total Population,Total Citizen Income,Hispanic or Latino,Total Citizen Educated in US,Total Households,White Race,Total Families,Hispanic or Latino_iqr,Citizen High School  Graduate,Citizen Some College  Education,Citizen College Degree,Citizen Income over 75000,Citizen No Income,Citizen Income 1-9999,Pacific Islander Race,Native American Race,Citizen Graduate or Professional Degree,Citizen Less than High School  Education,Citizen Income 15000-24999,Citizen Income 35000-49999,Death Rate Categories
105160,85567,94513,61324,38484,6732,23490,94513.0,15948,22121,11634,9224,10090,18318,4149,2438,7116,4505,12012,9688,2
16561,13286,16207,11463,6811,87,3822,16207.0,4269,3907,1717,1307,1178,2037,156,60,609,961,2131,2208,0
19980,15678,18770,13199,7720,58,5174,18770.0,4436,3971,1849,1344,1767,2527,461,83,645,2298,2285,2299,0
916924,754488,795418,632912,337132,42346,227430,140466.75,117126,163724,183959,161826,95473,105486,45106,92304,119948,48155,84220,83813,3
18576,14578,18389,12639,7839,64,4121,18389.0,4851,4112,1495,1206,1387,2460,52,33,734,1447,2478,2000,0
6721,5306,6662,4568,2840,30,1536,6662.0,1637,1887,400,434,447,901,21,22,171,473,879,907,0
34242,27399,33645,23094,13515,79,8442,33645.0,8483,7558,3741,2558,2032,4341,262,147,1477,1835,4205,4208,1
22140,18273,21836,15451,8311,980,4976,21836.0,6371,4541,1316,1069,3270,3449,94,51,527,2696,2734,2121,2
14081,10975,13787,9393,5676,85,3347,13787.0,3566,3047,1330,950,947,2041,90,37,469,981,1684,1638,1
39561,32192,39086,27627,16617,123,8961,39086.0,8817,11087,2724,1979,4335,6213,124,124,1476,3523,5263,3995,0
37069,29908,36173,25732,14536,1269,7753,36173.0,8634,9349,3121,1844,4449,5300,596,112,1428,3200,4585,4168,0
5589,4266,5523,3751,2403,12,1184,5523.0,1506,1293,358,283,480,737,20,5,123,471,641,614,0
13886,10981,13771,9378,5570,119,3198,13771.0,3960,3050,827,620,1469,2149,39,16,298,1243,1713,1366,0
50063,39744,45967,33231,18546,605,13657,45967.0,11429,12070,4949,6388,4838,5912,1336,327,2554,2229,4613,4948,1
8457,6735,8352,5818,3489,31,1931,8352.0,2155,2108,592,592,795,1127,22,19,391,572,879,994,0
19104,15088,18919,13130,8040,52,4197,18919.0,5072,4490,1809,1105,1635,2237,56,46,784,975,2271,2405,1
4320,3602,4264,3129,1915,13,876,4264.0,1081,1124,280,144,637,746,14,22,67,577,694,336,0
7331,5897,7252,5114,3149,15,1493,7252.0,2341,1514,588,371,491,906,13,15,138,533,1068,840,0
50486,40526,48084,34567,20373,796,12095,48084.0,11764,11445,5307,4193,4693,5910,814,191,2333,3718,6203,5170,1
29718,23370,28134,20091,11956,233,7015,28134.0,8408,6699,1867,1870,2154,4082,779,103,1001,2116,3896,3024,2
60218,50009,57815,35285,25538,8589,10738,57815.0,8671,11063,6092,3991,8370,12146,992,1910,6687,2772,6685,5168,2
9698,7756,9619,6700,3940,11,2204,9619.0,2628,2150,786,617,634,1399,26,24,379,757,1216,1101,3
38827,31291,38028,26760,15365,3251,8596,38028.0,8433,10079,2578,2344,5004,5337,299,246,1740,3930,4907,3841,3
22985,18396,22763,15267,8828,93,5239,22763.0,5466,5473,1970,1883,2360,2907,46,77,1042,1316,2951,2579,1
22678,18693,22069,16312,9753,107,4715,22069.0,6075,5101,2453,1880,1240,2959,194,72,1380,1303,2917,2880,1
12582,10989,12206,9404,4584,1006,2441,12206.0,2995,3298,1022,657,3104,1730,201,22,500,1589,1400,1052,0
515269,413376,356879,340594,170479,29422,149190,140466.75,78261,95742,71465,67401,56015,59611,66818,17895,38722,56404,57085,47695,3
113449,89086,103282,72871,41511,17187,28754,103282.0,24723,24914,9028,8686,11592,16282,4502,1052,5425,8781,12372,10935,3
114736,92574,96838,77030,38022,6585,36066,96838.0,17246,26836,17324,17597,11150,12028,5768,3467,9493,6131,11801,11443,2
52919,43015,50361,35756,21535,3810,10880,50361.0,12762,12293,4094,2913,6913,7129,1023,338,2303,4304,7103,5120,0
703462,561195,563475,455774,241712,49033,192672,140466.75,96100,113643,118151,116686,74685,81676,60008,44358,83502,44378,71105,58514,3
113924,91377,104789,77586,45347,2186,26218,104789.0,28070,26981,9067,9394,10802,15167,2838,762,4729,8739,14302,11220,2
16833,13833,16280,11891,6130,1608,3207,16280.0,4399,4078,1026,834,3003,2411,280,38,348,2040,1782,1815,0
36031,28983,34229,24995,13758,1735,7734,34229.0,8814,8956,2727,2757,4246,4897,693,246,1728,2770,4072,3695,1
38950,30312,37418,25661,14613,1915,8758,37418.0,11171,7872,2482,2709,4687,4406,518,199,1387,2749,4898,3587,1
30305,24915,29412,20844,11070,2285,6062,29412.0,7490,6981,2965,2149,4620,3796,371,184,1152,2256,2929,3205,0
32612,27233,31745,18357,13057,1642,5243,31745.0,5644,5420,3133,2075,3805,7270,237,580,2860,1300,3218,3053,3
308760,247107,273511,205777,109199,3283,84175,140466.75,54491,67997,45497,45149,29441,33372,13194,7807,22875,14917,29923,30529,2
169572,141464,162138,104486,65104,12426,38412,140466.75,26444,26993,31061,22570,17193,26283,2603,7227,15629,4359,16289,16327,2
110768,87584,108696,73678,45855,18027,25284,108696.0,25277,24297,10855,8289,9527,16042,756,1118,5900,7349,12943,11462,2
47765,37839,47347,32422,19381,359,10775,47347.0,12514,10852,4017,3570,3781,6397,118,129,1994,3045,6001,5262,1
269282,217291,261969,184528,108094,21235,61246,140466.75,56963,65062,30349,24707,23664,34702,2427,2254,17990,14164,30588,28716,2
39437,31017,38895,26532,16148,1557,9238,38895.0,9371,10174,2633,1996,2981,5727,165,224,1406,2948,5407,4447,0
12640,9935,12326,8583,5161,44,2742,12326.0,3549,2926,1144,976,994,1477,137,45,351,613,1621,1318,0
14666,11582,14549,10022,6079,54,3227,14549.0,4366,2986,1046,884,1107,1904,19,40,497,1127,1889,1569,0
15429,11840,15139,10348,6362,904,3518,15139.0,3537,4044,937,900,1459,2278,72,42,319,1511,2004,1215,0
12705,10136,12584,8740,5140,76,3001,12584.0,3046,2900,1516,1339,940,1195,46,30,634,644,1482,1693,0
16434,13021,16127,11246,6734,47,3720,16127.0,4617,3644,1480,1108,1234,2004,42,52,625,880,1900,1877,0
32957,27411,32507,23611,12589,69,8071,32507.0,7346,7909,4572,4772,2255,3671,111,144,2653,1131,3462,3933,2
30104,24352,29645,20954,11652,952,6386,29645.0,8373,6773,1858,1718,5092,3799,145,111,1163,2787,3586,2771,1
35547,28814,34835,23818,14104,2122,7587,34835.0,9869,6853,3430,2503,3635,5298,273,168,1630,2036,4597,3162,1
14846,11657,14717,9931,5758,41,3701,14717.0,3440,3233,1233,1007,1260,1559,34,31,567,1458,1647,1774,0
53497,41993,48756,35732,20856,483,13244,48756.0,12003,12771,4669,4910,4743,6369,2015,250,2354,3935,6505,5913,2
186494,148828,179392,124320,75793,33030,44893,140466.75,33579,40818,23520,18172,18420,25991,2956,5856,14022,12381,20977,18815,2
22350,18078,21751,15244,8335,1866,4633,21751.0,5991,5059,1381,972,4203,2736,365,87,532,2281,2564,2001,0
16729,13399,16562,11539,6782,58,4007,16562.0,3985,3646,2214,1609,1011,1730,35,51,1073,621,1671,2292,0
16430,12971,16258,11115,6639,275,3712,16258.0,4545,3472,1350,801,1590,2417,38,38,440,1308,2043,1723,0
4470,3768,4406,3403,1829,269,814,4406.0,1097,1403,307,222,571,669,23,11,139,457,810,465,0
6161,4665,6064,4063,2642,1994,1405,6064.0,1464,1569,289,218,820,949,41,13,166,575,749,537,0
6006,4821,5754,4235,2509,32,1279,5754.0,1696,1589,410,696,411,609,82,13,221,319,725,708,0
33476,27684,32609,23893,12314,3263,6631,32609.0,9722,7206,2189,1824,5844,3914,403,104,950,3826,3864,3610,2
16233,12985,16028,11155,6726,78,3608,16028.0,3477,3909,1735,1003,1346,2295,64,119,659,1375,2014,1896,0
147546,118758,130428,100347,61303,13289,33187,130428.0,30886,35404,14918,11444,12400,20723,6555,2419,7880,11259,17348,15994,2
270056,212124,261271,177839,105045,82302,68588,140466.75,51438,62589,28056,24310,29338,35838,3133,3276,19221,16535,28304,26669,3
24913,20069,24573,17140,10379,995,5704,24573.0,5180,6886,1865,1378,2888,4082,97,101,952,2257,3023,2459,0
197465,160902,193985,136402,82986,23335,46816,140466.75,37800,41664,29200,23737,17109,24132,1047,3220,17399,10339,21156,21904,2
7544,6128,7454,5409,3040,243,1580,7454.0,1956,1860,650,403,1190,970,36,9,317,626,891,860,0
5355,4186,5312,3605,2214,9,1272,5312.0,1757,1083,356,318,394,798,6,12,146,263,629,634,0
22363,18098,22183,15576,9216,50,5052,22183.0,7128,4737,1768,1282,2015,2732,38,56,719,1224,2867,2701,1
5994,4570,5935,3919,2425,28,1411,5935.0,1500,1306,512,490,462,783,20,19,224,377,684,587,0
47711,37651,46305,32234,19845,4275,10811,46305.0,11487,11953,3909,2757,3828,6331,550,297,2123,2762,6954,4764,2
135394,108934,132880,93706,54146,1374,31836,132880.0,30198,32438,17038,13528,11532,14966,677,999,7330,6702,15382,16219,1
17808,14172,16945,12359,7167,156,3828,16945.0,4033,4031,1751,909,1985,2375,348,54,1001,1543,2343,1840,4
81625,63363,78184,53825,32655,10571,19928,78184.0,21942,17145,5532,4001,9855,10183,1189,564,2339,6867,9745,8890,1
11947,9414,11789,8038,5012,77,2648,11789.0,2454,3244,1055,748,901,1663,62,70,452,833,1486,1318,0
17707,14271,16217,11404,6918,303,3919,16217.0,3831,3415,1959,1074,1493,2859,804,94,816,1383,2218,2063,0
14716,11715,14519,10164,5926,101,3258,14519.0,3443,3864,1381,1196,1163,1688,61,42,672,804,1826,1925,0
16760,13460,16584,11631,7102,42,3780,16584.0,4288,4301,1129,829,1641,2013,58,71,402,1511,2194,2282,1
14665,11582,14507,10088,6313,56,3065,14507.0,3808,3671,1008,1099,1358,2006,27,31,564,1037,1804,1491,0
58498,46322,52043,39619,23740,781,13740,52043.0,14453,13868,4647,3964,4348,7465,2044,276,2525,4126,8019,6436,2
677560,541848,571743,444963,225256,75743,196954,140466.75,119492,135319,95679,95713,76771,75066,39025,30833,53654,40819,67534,60589,3
66357,55060,65056,47536,27421,2540,14692,65056.0,14273,18236,6288,4690,7641,8328,362,561,4401,4338,8370,7157,1
295266,231241,263089,194834,115501,36108,73580,140466.75,62589,64045,27530,22402,27279,39142,14339,6810,16167,24503,36388,28747,2
38664,30962,38137,25942,14276,187,9990,38137.0,8626,7846,5802,4447,3076,4724,119,213,2260,1408,4152,4341,1
34387,25692,32975,21052,12011,107,10714,32975.0,8558,5915,2116,1229,3225,4010,474,78,1013,3450,4185,3871,1
355329,287882,332236,237509,137851,41618,95958,140466.75,69290,77785,42678,25302,34363,44718,10455,9721,22525,25231,43569,41144,2
76794,64621,72032,54857,29860,1420,19360,72032.0,18386,13967,10155,7876,6504,10042,2449,2632,6986,5363,9259,8624,3
8854,6891,8423,5841,3479,42,2284,8423.0,2590,1656,744,523,635,1206,193,15,236,615,991,908,0
12766,10035,12649,8610,5236,49,2914,12649.0,4297,2295,506,405,948,1819,41,19,454,1058,1965,1377,2
56640,48958,55370,41421,21149,495,15917,55370.0,9684,9574,11596,10005,5412,6621,371,942,7966,2601,5579,6354,3
15242,12804,15064,11254,6199,53,3172,15064.0,3904,3361,1421,1199,1244,2061,47,44,1444,1124,1868,1849,1
20155,16268,19444,13909,7900,48,4957,19444.0,5792,4279,1528,1320,1743,2594,349,21,730,1580,2481,2258,2
38966,30907,34069,25935,14858,578,10093,34069.0,10229,7867,2334,1688,4326,4832,2745,419,1131,4374,4964,4220,2
110232,93001,104882,79085,44248,7661,26109,104882.0,27495,26703,10961,7299,10176,13419,2917,875,4825,9101,14443,14330,3
26890,21340,26583,18220,10447,87,6441,26583.0,8128,5373,2031,1546,2268,3892,136,60,998,1690,3242,3099,2
33224,25336,28829,21277,12105,142,8849,28829.0,9493,5515,2297,1638,2671,4163,2271,72,1040,2932,4309,3784,1
10713,8680,10587,7473,4303,24,2495,10587.0,3543,1797,486,286,1253,1385,59,20,293,1354,1479,1368,0
31648,24740,30334,20237,11329,172,9120,30334.0,6944,5179,1875,1823,3697,4060,818,161,991,5248,3843,2838,3
50047,40266,49545,33999,18743,300,12515,49545.0,13601,9892,4855,4296,4019,6531,175,189,2524,3127,5642,5151,3
25740,21161,25314,17757,9977,82,6560,25314.0,7777,4624,2281,1512,1983,3426,148,186,1220,1855,2939,3617,4
42223,33875,41192,28431,15951,148,11136,41192.0,11538,8887,3503,2466,3174,5398,349,192,1564,2939,5554,5261,1
117671,98071,115583,71195,46516,8146,23573,115583.0,24895,21759,9852,5894,11410,23246,674,1144,7196,7493,15637,11650,2
41889,33871,39368,28458,16133,122,10669,39368.0,10976,8105,4394,2783,3036,4889,1293,189,1697,3286,5424,5778,2
197559,155632,169673,128152,70244,11307,56175,140466.75,46063,33555,15620,10745,20143,24764,14792,1915,8353,24561,25046,21627,2
24277,19225,24054,16358,9719,322,5818,24054.0,7119,4481,1228,951,2959,3213,74,81,584,2946,3100,2216,2
74578,62037,72606,52041,29479,3873,17931,72606.0,16059,15699,9263,7286,6495,9510,866,704,5497,5523,8824,8287,3
17240,13613,16867,11545,6935,28,4174,16867.0,4967,3589,1074,1004,1413,2449,145,35,583,1332,2053,1706,2
23087,18356,22877,15509,8579,37,6033,22877.0,6640,3889,2001,1462,1902,2957,75,55,1051,1928,2569,2558,2
20836,16310,19954,14015,8237,150,5163,19954.0,5794,4467,1166,838,1532,2979,455,101,631,1957,2947,2326,1
33503,27124,33062,22827,13255,597,8145,33062.0,9256,7637,2568,2602,3129,3807,158,156,1261,2105,4384,3617,1
70061,55988,67544,44546,27245,4888,15169,67544.0,18171,12969,4637,2775,6235,12834,999,411,2978,5791,9642,6465,2
33165,26527,32843,22716,13487,49,7883,32843.0,9257,7220,2102,1816,3036,4597,89,96,1192,2945,4393,3760,3
274569,237328,265143,199803,99835,9603,82938,140466.75,30322,47034,73578,58735,26456,30783,3270,13175,41296,7573,22600,29155,2
70002,58692,68786,49508,26304,1452,18338,68786.0,16056,15503,10029,7503,6420,6897,303,558,4879,3041,7549,9152,3
39364,32095,38783,27639,15192,178,9307,38783.0,11710,8375,2893,2942,3831,5049,207,155,1689,2972,4690,4314,3
145448,124613,141069,104392,52368,7084,39908,140466.75,28993,31919,24513,19297,13585,16796,1544,3028,12320,6647,14432,18555,3
49462,40497,48771,34455,19077,1070,11044,48771.0,15039,9822,3791,2169,6166,7152,218,156,1903,3900,6407,5601,2
82752,66835,80549,56980,34301,5680,19585,80549.0,20942,18096,7467,6003,7836,10958,699,740,4131,6344,10083,9007,3
37124,29956,36493,24887,14218,160,8795,36493.0,10813,7198,2771,1788,2707,5335,168,167,1742,2363,4818,4649,1
42376,34887,39966,29579,16501,282,10416,39966.0,12968,8052,3112,2243,4101,5863,1019,359,1581,3866,5127,5034,1
33478,26836,31655,22258,12232,212,8594,31655.0,9368,6829,2132,2322,3091,4822,655,133,1183,2746,3681,3684,1
21253,16620,20676,13871,8133,60,5644,20676.0,6637,3403,916,592,1868,2954,281,78,534,2381,2993,2317,0
32428,26943,31673,22097,12635,542,7334,31673.0,8883,6938,2324,1973,3487,5003,305,211,1527,2425,3730,3580,1
28525,22515,27954,18680,10680,216,7530,27954.0,8597,5360,1375,1058,2445,3962,273,62,624,2724,3428,3178,2
139654,118202,135384,98960,52242,1578,36900,135384.0,31182,29050,20575,15007,12943,16337,1692,2744,9976,8177,15443,17282,3
38440,31210,37850,24759,15249,1009,8192,37850.0,8758,9103,2532,2013,3743,5811,186,215,1443,2923,4733,4400,0
77358,62838,71724,52041,29197,572,19817,71724.0,18374,14167,7526,5311,6563,9485,2631,650,4056,7918,9749,9648,1
37128,27970,35811,22347,11598,117,12806,35811.0,7478,4463,1556,1894,4536,4210,636,118,655,8195,4202,3988,1
496005,391704,413342,326499,188157,128263,127273,140466.75,113733,103794,47030,40991,57888,65320,28792,6142,22939,39003,56048,46134,3
111467,90974,105374,77203,42331,12001,25382,105374.0,29991,24086,8931,7559,15798,14641,2226,583,4827,9368,13993,10893,2
46134,37434,45589,32030,18811,186,10872,45589.0,13489,9876,3195,2545,4535,5338,137,224,1953,3517,6509,5295,3
131636,106089,127447,89800,51927,10963,30389,127447.0,34995,27960,10584,6798,13738,18774,1973,553,5175,11086,16558,14473,3
903393,742828,818927,615756,366176,240975,226505,140466.75,172295,172013,118164,64885,94928,124874,48435,18314,64860,88424,112792,98581,3
47051,37139,43080,30831,17406,220,12649,43080.0,12219,7916,3823,2609,4530,6280,1773,215,2271,4602,5537,4862,1
10334,8316,10264,7106,4216,10,2481,10264.0,3037,2117,457,652,729,1501,24,29,325,1170,1179,1334,0
36903,29594,35997,24872,13456,1673,8393,35997.0,10235,7851,1944,1642,4910,5301,225,129,1193,3649,4271,3403,1
137974,125374,133945,81878,54864,4491,22471,133945.0,17854,19894,19422,11495,16547,34308,1325,7214,18076,6632,15454,12730,2
38124,31013,36385,25785,14979,327,9139,36385.0,10917,7546,3270,2273,3093,5270,700,213,1403,2649,4609,4349,3
68894,56305,68074,47577,25765,176,17328,68074.0,19735,14462,5093,5612,5977,9284,232,248,2548,5739,8526,7814,3
14244,11572,13527,9859,5503,56,3279,13527.0,4492,2916,744,860,1798,1876,256,38,337,1370,1724,1627,3
47536,37507,42969,31331,17355,185,12850,42969.0,13084,9180,3051,2257,3793,5804,2472,176,1322,4694,6953,6085,3
6128,4965,6059,4388,2477,22,1300,6059.0,1939,1314,384,502,491,655,19,19,237,514,620,743,0
19840,15906,19646,13461,7872,170,4887,19646.0,6135,3490,960,879,1726,2488,65,62,630,2246,3176,2058,4
21575,17297,21377,14921,8486,65,5011,21377.0,6411,4433,1024,1060,2419,2317,49,66,867,2186,2752,2516,1
17339,14024,17124,12051,6222,397,3713,17124.0,5144,3638,1056,829,2629,2555,70,34,461,1752,2049,1572,0
19338,15798,19146,13635,7476,471,4143,19146.0,6623,3412,1002,950,2680,2244,51,69,948,1650,2430,2076,1
12845,10208,12725,8795,5186,39,2880,12725.0,3749,2665,739,987,959,1483,38,25,413,1229,1639,1460,0
164343,136618,150410,113686,61998,4894,39921,140466.75,39046,34641,19582,20006,19542,21314,3818,1994,11658,8759,17355,16442,2
25910,20953,25662,17829,10171,233,6138,25662.0,6713,6294,2388,2511,1941,3507,93,70,1301,1133,2700,2857,0
13402,10406,13077,8884,5282,88,3198,13077.0,4127,2711,727,700,1264,1663,80,29,318,1001,1570,1451,2
37963,31538,37376,24756,12917,1505,7996,37376.0,10656,7366,2210,2226,5399,5917,204,279,1611,2913,4458,3876,2
26171,20435,25381,17404,10451,117,6383,25381.0,7500,5046,1368,851,2328,3284,462,61,1012,2478,3466,2907,2
28818,22841,28373,19184,10789,69,7590,28373.0,8282,5091,2350,1753,2409,3280,158,146,1151,2310,3941,3469,2
17392,13680,17202,11539,6767,132,4307,17202.0,5299,2772,1122,849,2284,2090,86,57,588,1758,2027,1823,2
266931,215479,247536,174455,103069,33958,65851,140466.75,53575,50114,30387,17567,27698,40419,9031,5036,19237,21142,33511,26422,2
24181,19251,23827,16245,9397,57,5812,23827.0,6830,4862,1279,1339,2669,2833,111,108,821,2453,2795,2653,2
44436,35823,42789,30587,17302,455,10845,42789.0,13192,8263,3670,3170,3852,5411,714,244,1823,3639,5009,5588,3
20952,16845,20435,14377,8082,96,5063,20435.0,6391,4245,1479,1621,1657,2402,282,72,802,1460,2877,2708,1
23363,18574,22597,15788,9038,66,5696,22597.0,6326,5002,1193,1027,2375,3563,204,41,599,2668,3021,2103,2
34185,28621,33203,23551,13310,179,7835,33203.0,8837,7413,3003,2234,2490,4909,320,167,1779,2519,4724,4310,1
21475,17441,21181,14952,7823,961,4590,21181.0,6520,4549,1271,1143,3497,3202,64,40,595,2017,2464,1875,1
10613,8408,10466,7159,4034,32,2722,10466.0,3483,1806,451,421,1056,1721,79,18,172,1247,1316,1027,0
172780,153542,159833,102561,65532,6913,35717,140466.75,26207,29570,21124,13938,19410,37584,5672,10730,16701,8959,20987,16957,1
15936,12721,15590,10848,6376,29,3703,15590.0,4557,2786,1515,1116,1287,1794,107,65,793,1197,1847,1966,1
7516,5968,7434,4973,2938,33,1885,7434.0,2354,1167,582,236,678,969,25,19,292,578,1263,751,0
179703,148530,175830,123257,74454,16347,39896,140466.75,40260,37746,20697,12370,17425,25874,1867,2003,11574,12980,23251,19199,1
16212,12874,16082,10949,6619,24,3744,16082.0,5054,3430,985,864,1698,2158,48,31,437,1043,2030,1655,0
107848,89184,105379,69061,41361,7437,23049,105379.0,22273,22109,10051,5637,12287,19201,637,1781,6206,8422,14201,9757,1
32888,26382,32191,21810,12777,163,7459,32191.0,9157,6114,2388,1645,2454,4844,233,138,1694,2457,4328,3909,1
8508,6776,8438,5870,3337,11,1996,8438.0,2591,1612,767,637,590,985,20,36,370,530,982,1079,2
59689,49238,58743,41987,22505,803,15431,58743.0,13419,13353,7662,6602,4907,7035,291,960,4610,2943,6347,7445,3
28262,22497,27958,19059,10850,64,7126,27958.0,8653,5268,1425,1183,3326,3484,93,86,878,2835,3262,3175,1
68917,54743,67113,45907,27551,3418,15883,67113.0,17326,13581,4901,3263,6986,9831,785,527,3436,6663,9061,6278,2
27636,22124,27072,18701,10780,96,6899,27072.0,7291,6316,2368,1528,1861,3463,208,107,1107,1619,3442,3868,0
24643,19623,22897,16729,9741,68,5960,22897.0,6892,5227,1781,1209,1760,2830,924,89,1003,1826,3484,2963,3
33292,27069,32777,23080,13001,99,8183,32777.0,9418,7110,2880,2370,2603,3434,132,105,1612,2060,4165,4255,2
7682,5917,7581,5167,3292,11,1725,7581.0,2323,1726,598,453,392,895,34,22,211,309,874,1189,0
4029,3128,3992,2739,1715,8,849,3992.0,1076,1017,357,227,245,498,3,24,118,171,480,554,0
14330,11283,13573,9760,5845,113,3310,13573.0,3869,2896,1208,897,883,1805,292,34,504,1283,1907,1836,2
12887,10230,12706,8948,5627,63,2894,12706.0,3248,3144,1156,559,1088,1719,34,36,472,928,1723,1427,2
6119,4766,6082,4147,2617,10,1339,6082.0,1709,1478,414,466,252,827,6,25,154,392,791,689,2
26076,20597,25801,17550,10302,102,6646,25801.0,6224,6209,2764,2300,1642,2821,53,66,1098,1255,3031,3463,1
131090,108711,126183,83456,52470,11640,28496,126183.0,26324,26730,15068,9151,9361,21180,2045,1707,7901,7433,16047,15961,3
26306,21592,25801,18304,10728,206,6279,25801.0,6176,6550,3124,2108,1764,2890,153,88,1314,1140,3295,3501,1
24276,20264,24037,16263,9385,191,5513,24037.0,5350,5529,3321,2307,1320,3901,61,174,1401,662,2748,2926,2
20958,16352,20715,13993,8161,67,5676,20715.0,5707,4646,2019,1641,1336,2155,36,90,637,984,2803,2672,1
20260,15979,15652,12786,7522,540,5056,15652.0,3806,3779,1838,1209,1645,2762,1728,1141,733,2630,2159,2591,3
14867,11995,14734,10437,6120,26,3503,14734.0,4138,3745,1286,840,934,1669,36,35,478,790,2014,2134,2
9670,8093,9580,6990,4242,22,2052,9580.0,2560,2609,885,578,544,1590,21,21,444,492,1385,1142,0
20816,16272,20483,13863,8683,83,5176,20483.0,5220,4504,2361,1468,1071,2562,179,92,757,1021,2431,2540,1
13956,10834,13703,9405,5980,35,3188,13703.0,3830,2734,1343,758,787,1686,96,30,504,994,1791,1689,0
18499,14949,18215,12942,7511,52,4537,18215.0,4664,4632,2220,1490,1097,1896,43,85,676,750,2161,2620,1
44151,35746,42457,30737,19350,578,9491,42457.0,9696,12224,4887,2930,2155,6009,416,377,1924,2006,5479,5663,1
12072,9529,11798,8317,5207,66,2555,11798.0,2978,2950,1199,941,453,1454,131,62,420,770,1598,1596,0
12439,9791,12170,8351,5204,41,3035,12170.0,3567,2720,964,719,625,1439,169,40,334,766,1519,1740,0
9286,7351,8359,6364,3701,39,2346,8359.0,2772,1903,822,497,571,1003,330,37,271,596,1082,1219,2
16667,13245,16190,11457,7282,69,3830,16190.0,4032,4191,1921,1159,702,2127,196,99,562,751,2279,2257,0
18129,14504,17823,12608,7599,61,4204,17823.0,5580,3941,1471,1004,772,2304,110,42,511,1105,2411,2475,2
49116,38580,47873,32898,20223,1291,11590,47873.0,12263,11607,4346,3749,3744,5474,361,280,1965,2717,6460,5201,1
17096,13555,12965,11143,6413,208,4516,12965.0,4102,3222,1117,911,1771,1882,2262,104,334,2368,1989,2204,2
66135,61337,62076,52638,25240,918,19221,62076.0,9754,14619,18159,13992,4345,8241,1409,1662,7670,2436,6026,8031,3
8753,6693,8668,5580,3201,7,2550,8668.0,2017,1751,666,610,734,1124,21,24,326,820,930,933,2
8457,6676,8276,4908,3223,152,1918,8276.0,1812,1355,638,262,607,1712,41,59,418,685,1076,781,0
17764,13892,17625,11803,7062,48,4483,17625.0,5039,3748,1354,1238,713,2210,25,49,646,1016,1977,2248,1
40325,32313,39283,27689,17003,2048,9343,39283.0,9034,10968,3884,2469,2705,5410,232,290,1601,2202,5183,4722,1
16667,14334,16489,12620,7554,29,3227,16489.0,3608,4741,2572,2024,507,2167,37,72,1147,552,2212,2361,1
93653,78120,91846,64135,36815,2486,22252,91846.0,21308,18612,12576,7540,5683,13485,514,878,6679,4960,11547,12083,2
10302,7936,9539,6512,4236,65,2370,9539.0,2163,2341,967,608,454,1718,374,44,373,668,1229,1229,0
20880,16601,20500,13887,8634,198,4691,20500.0,5363,4514,1897,1090,1100,3076,93,107,857,1256,2979,2514,0
16303,12941,15972,11046,6886,203,3891,15972.0,3684,3935,1787,1185,779,2345,111,216,526,1114,2237,1798,1
10680,8320,9471,7203,4332,38,2547,9471.0,2647,2620,825,449,689,1429,420,28,336,775,1188,1226,0
7441,5710,7254,4971,3064,39,1699,7254.0,1781,1796,682,558,398,925,79,20,354,358,819,977,0
9336,7417,9165,6363,3996,26,2156,9165.0,2347,2217,926,613,473,1145,82,30,383,490,1235,1107,0
12453,9939,12331,8600,5131,28,2965,12331.0,2762,3168,1712,1219,626,1392,31,27,549,409,1469,1824,0
10954,8724,10752,7521,4544,16,2621,10752.0,2928,2436,1125,767,629,1433,85,37,461,571,1263,1508,2
15673,12319,14891,10642,6540,50,3769,14891.0,3269,4085,1784,1020,1098,1577,362,311,712,792,1792,2030,0
11341,8970,10943,7778,4741,56,2658,10943.0,2968,2687,1183,720,664,1203,158,47,424,516,1399,1503,0
17534,14303,16883,12067,7296,217,4048,16883.0,4031,4550,1774,1181,1246,2086,205,79,726,986,2242,2296,0
14928,11557,14745,9912,5987,25,3595,14745.0,3773,3584,1311,1104,973,1571,34,42,453,791,1770,1885,0
20145,16254,19381,13600,7666,447,4669,19381.0,5010,4803,1998,1072,1978,2396,274,461,709,1080,2594,2366,2
9566,7361,9448,6363,3944,25,2412,9448.0,2690,2080,627,557,520,1087,39,24,303,663,1176,1489,0
9815,7691,9458,6692,4209,44,2258,9458.0,2490,2305,1032,686,561,1280,203,32,317,548,1291,1110,2
7089,5615,6989,4872,3052,17,1698,6989.0,1898,1700,794,545,390,785,42,19,167,313,861,875,0
16355,13128,16048,11229,6677,57,4017,16048.0,4394,3727,1544,1177,762,1818,88,56,721,843,2104,2338,0
19848,15907,19628,13640,8289,61,4605,19628.0,5783,4165,1678,1232,1588,2120,67,47,854,1160,2426,2733,0
36842,29981,36305,25859,14806,470,8417,36305.0,10851,8524,3561,2241,2898,4485,133,163,1127,1796,4446,4877,3
16843,15218,16433,12591,6846,214,3066,16433.0,3576,4153,2434,965,2073,2639,144,1425,1773,655,2794,2081,0
130882,119461,124682,84554,52715,6305,25918,124682.0,13842,22042,23817,15817,12815,24602,2372,6819,20709,4144,14154,15020,1
20638,16793,20368,14549,8181,408,4626,20368.0,5978,4936,1708,1477,2117,2393,65,90,801,1126,2256,2637,0
10511,8330,10421,7173,4408,50,2442,10421.0,3004,2315,955,657,672,1275,28,18,346,553,1469,1269,2
